# Programming Languages
python
java
javascript
typescript
c++
c#
c
ruby
php
swift
kotlin
go
rust
scala
r
perl
lua
matlab
sql
bash
shell
html
css

# Data Science & AI
machine learning
deep learning
artificial intelligence
nlp
natural language processing
computer vision
statistics
data analysis
data visualization
pandas
numpy
scikit-learn
scikit learn
tensorflow
pytorch
keras
matplotlib
seaborn
plotly
hugging face
transformers
opencv
spacy
nltk
generative ai
llm
rag
langchain

# Web Development
react
angular
vue.js
vue
node.js
express.js
django
flask
fastapi
spring boot
asp.net
ruby on rails
laravel
bootstrap
tailwind css
sass
less
jquery
redux
graphql
rest api

# Database
mysql
postgresql
mongodb
redis
cassandra
oracle
sqlite
mariadb
dynamodb
elasticsearch
neo4j

# DevOps & Cloud
aws
azure
google cloud platform
gcp
docker
kubernetes
jenkins
gitlab ci
github actions
circleci
terraform
ansible
chef
puppet
linux
unix
nginx
apache

# Tools & Others
git
github
gitlab
bitbucket
jira
confluence
trello
slack
excel
power bi
tableau
looker
salesforce
sap
agile
scrum
kanban
sdlc
unit testing
selenium
junit
pytest
jest
mocha
cypress
postman
swagger
figma
adobe xd
photoshop
illustrator
